"Kyn";"Aldursflokkur/Buseta";"Menntun";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013"
"Karlar";"50 til 64 ara";"Alls";21500;22400;23300;24900;26100;26900;27400;27700;27900;28400;29000
"Karlar";"50 til 64 ara";"Grunnmenntun - ISCED 1, 2";6400;6300;6600;7200;7400;7400;7200;7800;7500;8300;7300
"Karlar";"50 til 64 ara";"Starfs- og framhaldsmenntun - ISCED 3, 4";10200;10800;11300;12100;12200;12200;12400;13300;13500;12900;14500
"Karlar";"50 til 64 ara";"Haskolamenntun - ISCED 5, 6";4600;5200;5200;5300;6400;7300;7700;6700;6900;7100;7000
"Karlar";"50 til 64 ara";"Upplysingar vantar";300;100;200;300;200;100;0;0;0;100;100
"Karlar";"65 til 74 ara";"Alls";8800;8800;8700;8700;8800;9000;9300;9700;10300;10800;11300
"Karlar";"65 til 74 ara";"Grunnmenntun - ISCED 1, 2";3400;3400;3400;3200;3100;3000;3100;3500;3800;3200;3600
"Karlar";"65 til 74 ara";"Starfs- og framhaldsmenntun - ISCED 3, 4";3900;4000;3900;4000;4000;4400;4800;4600;4900;5500;5300
"Karlar";"65 til 74 ara";"Haskolamenntun - ISCED 5, 6";1300;1300;1200;1300;1500;1600;1400;1600;1600;2100;2400
"Karlar";"65 til 74 ara";"Upplysingar vantar";100;100;100;100;200;100;0;0;0;0;0
"Karlar";"Hofudborgarsvaedi 16-74 ara";"Alls";62600;63100;64700;69600;74100;76100;73100;71000;72100;73100;74100
"Karlar";"Hofudborgarsvaedi 16-74 ara";"Grunnmenntun - ISCED 1, 2";18700;17700;18600;20900;21600;23500;22600;21700;22000;22900;22600
"Karlar";"Hofudborgarsvaedi 16-74 ara";"Starfs- og framhaldsmenntun - ISCED 3, 4";27200;29200;29200;30300;31700;30600;29600;30300;30300;30200;30100
"Karlar";"Hofudborgarsvaedi 16-74 ara";"Haskolamenntun - ISCED 5, 6";16100;15900;16400;18000;20500;21800;20800;19000;19700;20000;21300
"Karlar";"Hofudborgarsvaedi 16-74 ara";"Upplysingar vantar";600;300;400;400;400;200;100;0;100;0;100
"Karlar";"Utan hofudborgarsvaedis 16-74 ara";"Alls";37100;37200;37600;38500;38800;39200;40900;41400;40700;39900;40700
"Karlar";"Utan hofudborgarsvaedis 16-74 ara";"Grunnmenntun - ISCED 1, 2";17300;17100;16900;18000;18200;18400;19300;18900;18400;16900;17100
"Karlar";"Utan hofudborgarsvaedis 16-74 ara";"Starfs- og framhaldsmenntun - ISCED 3, 4";15700;15400;15600;15400;15700;16300;16000;17100;17300;17200;17500
"Karlar";"Utan hofudborgarsvaedis 16-74 ara";"Haskolamenntun - ISCED 5, 6";3900;4500;4900;4900;4600;4400;5400;5400;5000;5800;6000
"Karlar";"Utan hofudborgarsvaedis 16-74 ara";"Upplysingar vantar";200;200;200;200;200;100;100;0;0;100;100
"Karlar";"Hofudborgarsvaedi 25-64 ara";"Alls";45500;45400;46600;51100;54900;56300;53500;51800;51800;51300;52200
"Karlar";"Hofudborgarsvaedi 25-64 ara";"Grunnmenntun - ISCED 1, 2";10300;8900;9200;10600;11200;12700;11800;11400;11800;12200;11500
